<oov> 1.0	<oov>
آ 1.0	A_A
آؤ 1.0	A_A O_O
آؤٹ 1.0	A_A U_U T
آؤں 1.0	A_A U_U_N
آئی 1.0	A_A I_I1
آئیز 1.0	A_A I_I1 Z
آئین 1.0	A_A I_I1 N
آئیندہ 1.0	A_A I N D_D A_A
آئیوڈین 1.0	A_A I_I1 O_O D I_I1 N
آئیں 1.0	A_A A_Y_N
آئیے 1.0	A_A I_I1 J A_Y
آئے 1.0	A_A A_Y
آباد 1.0	A_A B A_A D_D
آباواجداد 1.0	A_A B A_A O_O A D_Z D_D A_A D_D
آبدوزیں 1.0	A_A B D_D O_O Z A_Y_N
آبرو 1.0	A_A B R U_U
آبشار 1.0	A_A B S_H A_A R
آبیانہ 1.0	A_A B J A_A N A_A
آتا 1.0	A_A T_D A_A
آتشبازی 1.0	A_A T_D I S_H B A_A Z I_I1
آتشزدگی 1.0	A_A T_D I S_H Z A D_D G I_I1
آتشیں 1.0	A_A T_D I S_H I_I_N
آتی 1.0	A_A T_D I_I1
آج 1.0	A_A D_Z
آخرالزمان 1.0	A_A X I R U Z Z A M A_A N
آخری 1.0	A_A X R I_I1
آدمی 1.0	A_A D_D M I_I1
آدھ 1.0	A_A D_D_H
آدھا 1.0	A_A D_D_H A_A
آدھی 1.0	A_A D_D_H I_I1
آدھے 1.0	A_A D_D_H A_Y
آر 1.0	A_A R
آرتھو 1.0	A_A R T_D_H O_O
آرتھوپیڈک 1.0	A_A R T_D_H O_O P A_E1 D I K
آرزو 1.0	A_A R Z U_U
آرزوئیں 1.0	A_A R Z U_U A_Y_N
آرٹلری 1.0	A_A R T I L R I_I1
آرڈیننس 1.0	A_A R D I_I1 N I N S
آرکائیوز 1.0	A_A R K A_A I_I1 V Z
آرگنائزنگ 1.0	A_A R G A N A_A I Z I N_G
آرگنائزیشن 1.0	A_A R G N A_A I Z A_Y S_H A N
آزاد 1.0	A_A Z A_A D_D
آزادی 1.0	A_A Z A_A D_D I_I1
آزمائیں 1.0	A_A Z M A_A A_Y_N
آسان 1.0	A_A S A_A N
آسرا 1.0	A_A S R A_A
آسمان 1.0	A_A S M A_A N
آسٹریلوی 1.0	A_A S T A R A_Y L V I_I1
آسیہ 1.0	A_A S J A_A
آشرم 1.0	A_A S_H R A M
آشنا 1.0	A_A S_H N A_A
آشوب 1.0	A_A S_H O_O B
آشیانہ 1.0	A_A S_H J A_A N A_A
آشیرباد 1.0	A_A S_H I_I1 R B A_A D_D
آغا 1.0	A_A G_G A_A
آغاز 1.0	A_A G_G A_A Z
آغوش 1.0	A_A G_G O_O S_H
آف 1.0	A_A F
آفریدی 1.0	A_A F R I_I1 D_D I_I1
آفرین 1.0	A_A F R I_I1 N
آفس 1.0	A_A F I S
آفیشلز 1.0	A_A F I_I1 S_H A L Z
آقا 1.0	A_A Q A_A
آقاؤں 1.0	A_A Q A_A O_O_N
آلود 1.0	A_A L U_U D_D
آلودگی 1.0	A_A L U_U D_D G I_I1
آلوچہ 1.0	A_A L U_U T_S1 A_A
آماجگاہ 1.0	A_A M A_A D_Z G A_A
آمدنی 1.0	A_A M D_D A N I_I1
آمدورفت 1.0	A_A M D_D O_O R A F T_D
آمیزش 1.0	A_A M A_Y Z I S_H
آمیزے 1.0	A_A M A_Y Z A_Y
آن 1.0	A_A N
آندھیاں 1.0	A_A N D_D_H I J A_A_N
آنسو 1.0	A_A N S U_U
آنسوؤں 1.0	A_A N S U_U O_O_N
آنکھ 1.0	A_A N K_H
آنکھو 1.0	A_A N K_H O_O
آنکھوں 1.0	A_A N K_H O_O_N
آنکھیں 1.0	A_A N K_H A_Y_N
آنگن 1.0	A_A N_G G A N
آنے 1.0	A_A N A_Y
آواز 1.0	A_A V A_A Z
آوازیں 1.0	A_A V A_A Z A_Y_N
آویزاں 1.0	A_A V A_Y Z A_A_N
آٹھ 1.0	A_A T_H
آٹھواں 1.0	A_A T_H V A_A_N
آٹھوں 1.0	A_A T_H O_O_N
آٹھویں 1.0	A_A T_H V A_Y_N
آپ 1.0	A_A P
آپریشن 1.0	A_A P R A_Y S_H A N
آڑ 1.0	A_A R_R
آڑو 1.0	A_A R_R O_O
آڑھا 1.0	A_A R_R_H A_A
آڑھتی 1.0	A_A R_R_H T_D I_I1
آڑے 1.0	A_A R_R A_Y
آکر 1.0	A_A K A R
آکسیجن 1.0	A_A K S I_I1 D_Z A N
آگ 1.0	A_A G
آگاہی 1.0	A_A G A_A H I_I1
آگے 1.0	A_A G A_Y
آہستہ 1.0	A_A H I S T_D A_A
آیئں 1.0	A_A A_Y_N
آیا 1.0	A_A J A_A
آیوڈین 1.0	A_A J O_O D I_I1 N
اؤٹ 1.0	U_U A T
اب 1.0	A B
ابتدائی 1.0	I B T_D I D_D A_A I_I1
ابجد 1.0	A B D_Z A D_D
ابرار 1.0	I B R A_A R
ابزرور 1.0	A B Z R O_O R
ابصار 1.0	A B S A_A R
ابلاغ 1.0	I B L A_A G_G
ابو 1.0	A B U_U
ابواب 1.0	A B V A_A B
ابڑو 1.0	A B R_R U_U
ابھار 1.0	U B_H A_A R
ابھر 1.0	U B_H A R
ابھرا 1.0	U B_H R A_A
ابھری 1.0	U B_H R I_I1
ابھریں 1.0	U B_H R A_Y_N
ابھرے 1.0	U B_H R A_Y
اتحاد 1.0	I T_D T_D I H A_A D_D
اتفاق 1.0	I T_D T_D I F A_A Q
اتھارٹی 1.0	A T_D_H A_A R I T I_I1
اتھل 1.0	U T_D_H A L
اتھلیٹس 1.0	A T_D_H L I_I1 T S
اتھلیٹکس 1.0	A T_D_H L I_I1 T I K S
اثاثوں 1.0	A S A_A S O_O_N
اثر 1.0	A S A R
اثرورسوخ 1.0	A S A R O_O R U S U_U X
اثنا 1.0	A S N A_A
اجازت 1.0	I D_Z A_A Z A T_D
اجاڑ 1.0	U D_Z A_A R_R
اجاگر 1.0	U D_Z A_A G A R
اجتماعات 1.0	I D_Z T_D I M A_A Y A_A T_D
اجتماعی 1.0	I D_Z T_D I M A_A I_I1
اجر 1.0	A D_Z R
اجرا 1.0	U D_Z R A_A
اجرت 1.0	U D_Z R A T_D
اجزا 1.0	A D_Z Z A_A
اجسام 1.0	A D_Z S A_A M
اجلاس 1.0	I D_Z L A_A S
اجناس 1.0	A D_Z N A_A S
اجنبیوں 1.0	A D_Z N A B J O_O_N
اجڑی 1.0	U D_Z R_R I_I1
اجڑے 1.0	U D_Z R_R A_Y
احتجاج 1.0	A_Y H T_D A_Y D_Z A_A D_Z
احترام 1.0	I H T_D A_Y R A_A M
احساس 1.0	A_Y H S A_A S
احساں 1.0	I H S A_A_N
احسن 1.0	A H S A N
احمد 1.0	A H M A D_D
احوال 1.0	I H V A_A L
احیا 1.0	I H J A_A
اخبار 1.0	A X B A_A R
اخبارنویسوں 1.0	A X B A_A R N A V I_I1 S O_O_N
اختر 1.0	A X T_D A R
اختیار 1.0	I X T_D I J A_A R
اخراج 1.0	I X R A_A D_Z
اخراجات 1.0	A X R A_A D_Z A_A T_D
اخروٹ 1.0	A X R O_O T
اخلاقی 1.0	A X L A_A Q I_I1
اخوان 1.0	I X V A_A N
اخوندزادہ 1.0	A X V I N D_D Z A_A D_D A_A
اخوّت 1.0	U X U_U V A T_D
ادائیگی 1.0	A D_D A_A I_I1 G I_I1
ادائیگیوں 1.0	A D_D A_A I_I1 G I_I1 O_O_N
اداروں 1.0	I D_D A_A R O_O_N
ادارے 1.0	I D_D A_A R A_Y
اداس 1.0	U D_D A_A S
اداکاراؤں 1.0	A D_D A_A K A_A R A_A O_O_N
اداکارائیں 1.0	A D_D A_A K A_A R A_A A_Y_N
ادب 1.0	A D_D A B
ادغام 1.0	I D_D G_G A_A M
ادویات 1.0	A D_D V I_I1 A_A T_D
ادھار 1.0	U D_D_H A_A R
ادھم 1.0	U D_D_H A M
